ProblemNo,Connection,Cost
0,'11472' : 3 -> 5 ; '18233' : 27 -> 28,3
1,'15159' : 4 -> 6,2
2,'18233' : 3 -> 4 ; '12973' : 2 -> 3 ; '17019' : 9 -> 11 ; '19713' : 14 -> 26 ; '17019' : 23 -> 26,19
3,'10001' : 11 -> 12 ; '11472' : 1 -> 7 ; '12062' : 9 -> 10 ; '11472' : 9 -> 18 ; '12973' : 2 -> 7 ; '19713' : 2 -> 3,23
4,'17019' : 6 -> 11 ; '11471' : 14 -> 16 ; '18233' : 29 -> 30,8
5,'12183' : 9 -> 10,1
6,'17019' : 13 -> 14,1
7,'19713' : 11 -> 12 ; '17019' : 10 -> 11 ; '11471' : 14 -> 19 ; '18233' : 34 -> 44 ; '15159' : 28 -> 35 ; '18233' : 55 -> 59,28
8,'11471' : 5 -> 6 ; '19713' : 10 -> 12,3
9,'19713' : 2 -> 7 ; '17019' : 8 -> 21,18
10,'57129' : 9 -> 10 ; '11424' : 15 -> 16 ; '11028' : 36 -> 37 ; '02882' : 6 -> 7 ; '22695' : 4 -> 5 ; '12217' : 16 -> 17 ; '12937' : 7 -> 8 ; '12316' : 11 -> 12 ; '22812' : 2 -> 3 ; '12502' : 6 -> 8 ; '04415' : 1 -> 2 ; '11123' : 3 -> 5 ; '13021' : 31 -> 32,15
11,'59547' : 15 -> 16 ; '19017' : 21 -> 22 ; '19575' : 8 -> 9 ; '12937' : 4 -> 5 ; '12217' : 16 -> 17 ; '11203' : 16 -> 18,7
12,'16236' : 27 -> 28 ; '06064' : 5 -> 6 ; '16236' : 24 -> 25,3
13,'11030' : 9 -> 10 ; '11005' : 9 -> 10 ; '12629' : 7 -> 8 ; '22695' : 4 -> 5 ; '12298' : 4 -> 5 ; '16534' : 24 -> 25 ; '19107' : 2 -> 5 ; '12456' : 2 -> 3 ; '54702' : 9 -> 10,11
14,'18204' : 3 -> 4 ; '12536' : 11 -> 12 ; '22805' : 18 -> 19 ; '12952' : 1 -> 2 ; '14709' : 12 -> 13 ; '12182' : 14 -> 15 ; '59821' : 10 -> 12,8
15,'11205' : 20 -> 21 ; '16734' : 24 -> 25 ; '12251' : 9 -> 10 ; '12513' : 2 -> 3 ; '12552' : 24 -> 25 ; '07711' : 19 -> 20,6
16,'58502' : 11 -> 16 ; '18006' : 1 -> 3 ; '18212' : 3 -> 4 ; '08301' : 7 -> 8 ; '18637' : 11 -> 12 ; '02509' : 6 -> 7 ; '22202' : 2 -> 3 ; '22213' : 3 -> 6,15
17,'54806' : 57 -> 59 ; '16533' : 4 -> 5 ; '12268' : 1 -> 2 ; '22209' : 1 -> 2 ; '12017' : 1 -> 2 ; '12260' : 2 -> 3 ; '12274' : 3 -> 4 ; '13007' : 1 -> 2 ; '13145' : 3 -> 4 ; '53003' : 15 -> 16,11
18,'59014' : 8 -> 9 ; '12655' : 11 -> 12 ; '01081' : 7 -> 8 ; '12141' : 6 -> 7 ; '22356' : 3 -> 4 ; '12941' : 23 -> 24 ; '12250' : 6 -> 7 ; '12020' : 6 -> 7 ; '12315' : 4 -> 5,9
19,'57549' : 22 -> 23 ; '57550' : 35 -> 36 ; '17621' : 10 -> 11 ; '16572' : 1 -> 3 ; '12219' : 5 -> 6 ; '12649' : 5 -> 6 ; '22679' : 4 -> 5 ; '02590' : 7 -> 8 ; '22812' : 2 -> 3 ; '12306' : 6 -> 7 ; '12362' : 14 -> 15 ; '12253' : 25 -> 26 ; '03236' : 18 -> 19 ; '13120' : 51 -> 52,15
