ProblemNo,Connection,Cost
0,'15159' : 25 -> 39,14
1,'18233' : 6 -> 9 ; '17019' : 9 -> 10 ; '12433' : 5 -> 10,9
2,'15159' : 33 -> 35 ; '18233' : 55 -> 57,4
3,'10001' : 7 -> 12 ; '11472' : 1 -> 6 ; '18233' : 24 -> 25,11
4,'18233' : 41 -> 44 ; '15159' : 28 -> 34,9
5,'10001' : 3 -> 12 ; '11472' : 1 -> 6 ; '19713' : 14 -> 18,18
6,'17019' : 15 -> 23,8
7,'19713' : 15 -> 26 ; '17019' : 23 -> 26,14
8,'15159' : 23 -> 36 ; '18233' : 61 -> 64,16
9,'12433' : 3 -> 5 ; '11472' : 10 -> 19 ; '18233' : 1 -> 3,13
10,'11124' : 20 -> 21 ; '12541' : 3 -> 4 ; '11408' : 1 -> 2 ; '22805' : 18 -> 19 ; '12037' : 1 -> 2 ; '12421' : 15 -> 17,7
11,'13146' : 3 -> 4 ; '06335' : 11 -> 12 ; '12344' : 9 -> 10 ; '12508' : 15 -> 16 ; '02510' : 8 -> 9 ; '12262' : 2 -> 3 ; '12880' : 14 -> 15 ; '12720' : 12 -> 13 ; '52974' : 16 -> 19,11
12,'51433' : 46 -> 47 ; '01402' : 17 -> 18 ; '11013' : 5 -> 6 ; '12219' : 3 -> 4 ; '22881' : 4 -> 5 ; '22680' : 5 -> 6 ; '16217' : 11 -> 12 ; '56502' : 9 -> 10,8
13,'51118' : 5 -> 7 ; '01152' : 3 -> 4 ; '11025' : 5 -> 6 ; '11045' : 8 -> 12 ; '11205' : 16 -> 17 ; '51422' : 10 -> 11,10
14,'52452' : 1 -> 2 ; '12006' : 1 -> 2 ; '04924' : 3 -> 4 ; '12014' : 7 -> 8 ; '22680' : 2 -> 3 ; '12172' : 6 -> 7 ; '12108' : 6 -> 7 ; '01082' : 1 -> 2 ; '12656' : 28 -> 29 ; '59014' : 9 -> 11,11
15,'58112' : 9 -> 10 ; '12106' : 3 -> 4 ; '12222' : 4 -> 5 ; '11060' : 21 -> 22 ; '11005' : 2 -> 3,5
16,'19020' : 75 -> 76 ; '11464' : 29 -> 30 ; '12217' : 16 -> 18 ; '12066' : 1 -> 2 ; '22451' : 20 -> 21,6
17,'06228' : 3 -> 4 ; '16205' : 4 -> 5 ; '06228' : 6 -> 8 ; '18112' : 6 -> 7 ; '16229' : 9 -> 10 ; '22679' : 2 -> 3 ; '12285' : 1 -> 2 ; '17007' : 6 -> 7 ; '58112' : 16 -> 17,10
18,'15719' : 16 -> 18 ; '13150' : 6 -> 7 ; '12526' : 18 -> 19 ; '12344' : 9 -> 10 ; '12042' : 6 -> 7 ; '22214' : 3 -> 4 ; '22201' : 4 -> 5 ; '12867' : 6 -> 7 ; '18638' : 15 -> 16 ; '08302' : 19 -> 20 ; '18211' : 12 -> 13 ; '18005' : 45 -> 47 ; '58501' : 37 -> 46,23
19,'56214' : 36 -> 37 ; '12613' : 2 -> 3 ; '12008' : 2 -> 3 ; '02509' : 3 -> 5 ; '22832' : 12 -> 13 ; '12507' : 29 -> 30 ; '12843' : 5 -> 6,8
20,'18233' : 38 -> 47 ; '15159' : 29 -> 31 ; '18233' : 51 -> 54 ; '15159' : 34 -> 35,16560
21,'18233' : 68 -> 70,1920
22,'15159' : 14 -> 28 ; '18233' : 44 -> 47 ; '15159' : 29 -> 31 ; '18233' : 51 -> 54 ; '15159' : 34 -> 37 ; '18233' : 66 -> 68 ; '15159' : 38 -> 39 ; '18233' : 71 -> 72 ; '15159' : 40 -> 44,54480
23,'18233' : 35 -> 40,3600
24,'12183' : 4 -> 11,37800
25,'12183' : 2 -> 6,16320
26,'19713' : 21 -> 28 ; '17019' : 24 -> 26,29100
27,'17019' : 26 -> 27,6540
28,'19713' : 8 -> 11 ; '18233' : 17 -> 19 ; '17019' : 10 -> 11 ; '11471' : 14 -> 17 ; '18233' : 31 -> 44,38820
29,'18233' : 2 -> 4 ; '11471' : 2 -> 3 ; '18233' : 11 -> 12 ; '19713' : 9 -> 11 ; '18233' : 17 -> 19 ; '17019' : 10 -> 11 ; '19713' : 14 -> 23,49560
